packet_id,timestamp,probability,true_label
169854,2025-11-18 01:34:34.872604,0.9999893,1
109226,2025-11-18 01:34:34.892356,0.9885074,1
86859,2025-11-18 01:34:34.912762,0.62192106,1
144288,2025-11-18 01:34:34.927582,0.9999926,1
112051,2025-11-18 01:34:34.946526,0.9950505,1
117208,2025-11-18 01:34:34.997512,0.9999931,1
80996,2025-11-18 01:34:35.012762,0.8854916,1
89614,2025-11-18 01:34:35.030752,0.99565256,1
74714,2025-11-18 01:34:35.042796,0.99997234,1
169033,2025-11-18 01:34:35.050799,0.99999297,1
86191,2025-11-18 01:34:35.077528,0.99998593,1
168488,2025-11-18 01:34:35.088270,0.9999908,1
52004,2025-11-18 01:34:35.096949,0.99999297,1
55638,2025-11-18 01:34:35.107798,0.9999926,1
171579,2025-11-18 01:34:35.146664,0.9999887,1
61081,2025-11-18 01:34:35.164999,0.9999645,1
93852,2025-11-18 01:34:35.179422,0.99925154,1
165338,2025-11-18 01:34:35.182175,0.9999932,1
82086,2025-11-18 01:34:35.215789,0.99997735,1
137796,2025-11-18 01:34:35.223602,0.9999926,1
165109,2025-11-18 01:34:35.231039,0.9999919,1
158114,2025-11-18 01:34:35.243562,0.99999213,1
164964,2025-11-18 01:34:35.283718,0.9999571,1
171197,2025-11-18 01:34:35.294477,0.99998987,1
86646,2025-11-18 01:34:35.331187,0.9999887,1
114601,2025-11-18 01:34:35.347195,0.99999225,1
172134,2025-11-18 01:34:35.371682,0.9999902,1
71991,2025-11-18 01:34:35.439507,0.99999213,1
172590,2025-11-18 01:34:35.484298,0.99999154,1
167465,2025-11-18 01:34:35.535265,0.9999888,1
125357,2025-11-18 01:34:35.561205,0.99995637,1
129693,2025-11-18 01:34:35.577018,0.9999913,1
110036,2025-11-18 01:34:35.620553,0.9979569,1
120412,2025-11-18 01:34:35.634649,0.9999913,1
159264,2025-11-18 01:34:35.683574,0.9999906,1
127606,2025-11-18 01:34:35.704573,0.9999925,1
58449,2025-11-18 01:34:35.731919,0.9999925,1
133274,2025-11-18 01:34:35.747223,0.9999596,1
111241,2025-11-18 01:34:35.764326,0.9999902,1
169128,2025-11-18 01:34:35.801373,0.9999932,1
70364,2025-11-18 01:34:35.821585,0.99965096,1
123458,2025-11-18 01:34:35.835146,0.9999716,1
89658,2025-11-18 01:34:35.847865,0.99991953,1
165643,2025-11-18 01:34:35.864637,0.99998975,1
150076,2025-11-18 01:34:35.872119,0.99999034,1
134294,2025-11-18 01:34:35.895830,0.9999925,1
84051,2025-11-18 01:34:35.924050,0.7605686,1
170380,2025-11-18 01:34:35.946761,0.9999895,1
163500,2025-11-18 01:34:35.971178,0.99998915,1
117765,2025-11-18 01:34:35.991552,0.999956,1
51209,2025-11-18 01:34:36.006225,0.99997866,1
56772,2025-11-18 01:34:36.052444,0.9999927,1
61078,2025-11-18 01:34:36.059817,0.9999795,1
136713,2025-11-18 01:34:36.073280,0.99998665,1
81699,2025-11-18 01:34:36.130261,0.9998462,1
160842,2025-11-18 01:34:36.143284,0.9999908,1
173458,2025-11-18 01:34:36.160758,0.9999869,1
141365,2025-11-18 01:34:36.168135,0.9999914,1
163902,2025-11-18 01:34:36.176390,0.99999034,1
92788,2025-11-18 01:34:36.191687,0.99998987,1
164249,2025-11-18 01:34:36.218313,0.9999924,1
132768,2025-11-18 01:34:36.237326,0.9999918,1
132334,2025-11-18 01:34:36.260700,0.999992,1
131786,2025-11-18 01:34:36.264749,0.9999932,1
75066,2025-11-18 01:34:36.288885,0.9999913,1
173519,2025-11-18 01:34:36.295886,0.9999931,1
111634,2025-11-18 01:34:36.324511,0.9999912,1
120361,2025-11-18 01:34:36.359099,0.999879,1
140112,2025-11-18 01:34:36.391744,0.99999,1
115202,2025-11-18 01:34:36.403541,0.9999851,1
92351,2025-11-18 01:34:36.435997,0.9999826,1
82318,2025-11-18 01:34:36.441767,0.99998975,1
152192,2025-11-18 01:34:36.455908,0.99999154,1
68447,2025-11-18 01:34:36.513364,0.98012996,1
48021,2025-11-18 01:34:36.559261,0.9999918,1
106548,2025-11-18 01:34:36.575776,0.9999919,1
116609,2025-11-18 01:34:36.588087,0.9998739,1
96710,2025-11-18 01:34:36.604731,0.99999046,1
138851,2025-11-18 01:34:36.613736,0.9998591,1
61660,2025-11-18 01:34:36.621737,0.9999865,1
67950,2025-11-18 01:34:36.634631,0.9999912,1
173544,2025-11-18 01:34:36.651769,0.9999926,1
70880,2025-11-18 01:34:36.658058,0.99998736,1
111312,2025-11-18 01:34:36.700325,0.99998367,1
100072,2025-11-18 01:34:36.716813,0.9999751,1
86986,2025-11-18 01:34:36.733105,0.9999858,1
67832,2025-11-18 01:34:36.755557,0.9999244,1
60134,2025-11-18 01:34:36.778235,0.99998367,1
76224,2025-11-18 01:34:36.801437,0.99997056,1
70457,2025-11-18 01:34:36.806341,0.99997044,1
140317,2025-11-18 01:34:36.819463,0.9999825,1
109459,2025-11-18 01:34:36.849116,0.9999927,1
142024,2025-11-18 01:34:36.862673,0.9999925,1
114461,2025-11-18 01:34:36.921364,0.9999889,1
151440,2025-11-18 01:34:36.935206,0.999992,1
171683,2025-11-18 01:34:37.015484,0.99999,1
127653,2025-11-18 01:34:37.054939,0.99998236,1
163002,2025-11-18 01:34:37.110780,0.9999925,1
101543,2025-11-18 01:34:37.113508,0.99998593,1
148046,2025-11-18 01:34:37.148059,0.99998915,1
100888,2025-11-18 01:34:37.177038,0.99988985,1
87183,2025-11-18 01:34:37.193223,0.9999876,1
54735,2025-11-18 01:34:37.225114,0.99989986,1
68759,2025-11-18 01:34:37.236855,0.770584,1
145237,2025-11-18 01:34:37.272815,0.99999285,1
65350,2025-11-18 01:34:37.295698,0.99897975,1
68556,2025-11-18 01:34:37.300226,0.9654075,1
48263,2025-11-18 01:34:37.340409,0.9999906,1
59278,2025-11-18 01:34:37.378093,0.9999894,1
165801,2025-11-18 01:34:37.390157,0.99999094,1
160593,2025-11-18 01:34:37.406155,0.99999285,1
175304,2025-11-18 01:34:37.412097,0.99999297,1
87564,2025-11-18 01:34:37.437907,0.99998915,1
105847,2025-11-18 01:34:37.461815,0.99988365,1
147093,2025-11-18 01:34:37.494184,0.9999893,1
62063,2025-11-18 01:34:37.513077,0.9999219,1
157440,2025-11-18 01:34:37.527526,0.9999887,1
64782,2025-11-18 01:34:37.546404,0.9999845,1
158360,2025-11-18 01:34:37.565698,0.99998903,1
168074,2025-11-18 01:34:37.573990,0.99999,1
51792,2025-11-18 01:34:37.614986,0.9777659,1
118835,2025-11-18 01:34:37.650023,0.99998474,1
70184,2025-11-18 01:34:37.684395,0.99122834,1
134118,2025-11-18 01:34:37.723959,0.9999521,1
86877,2025-11-18 01:34:37.741413,0.9999751,1
113716,2025-11-18 01:34:37.756385,0.9999924,1
88390,2025-11-18 01:34:37.768782,0.99985886,1
74350,2025-11-18 01:34:37.807144,0.99999106,1
124369,2025-11-18 01:34:37.816019,0.9999902,1
85281,2025-11-18 01:34:37.872813,0.99993205,1
127731,2025-11-18 01:34:37.921192,0.9999901,1
140501,2025-11-18 01:34:37.942324,0.9999908,1
129688,2025-11-18 01:34:37.957289,0.99998784,1
129075,2025-11-18 01:34:37.983492,0.9999825,1
56695,2025-11-18 01:34:38.012140,0.9999926,1
63214,2025-11-18 01:34:38.030828,0.99903417,1
